Ticker,Company,CIK,event_date,event_type,event_tier,primary_source_url,secondary_source_url,Form,FilingDate,EventDate,DateOfReport,AccessionNo,FilingURL,FilingUrlTxt,PeriodOfReport,AcceptanceDateTime,HomepageURL,ItemsPresent,ItemsNormalized,EventType,EventTier,PrimarySourceURL,SecondarySourceURL,Tier,EventDate_canonical,PrimarySource,SecondarySource
BDCI,BTC Development Corp.,0002042292,2025-09-29,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/2042292/000121390025096131/ea0259285-8k_btc.htm,https://www.sec.gov/Archives/edgar/data/2042292/0001213900-25-096131-index.html,8-K,2025-10-03,2025-09-29,2025-09-29,0001213900-25-096131,https://www.sec.gov/Archives/edgar/data/2042292/000121390025096131/ea0259285-8k_btc.htm,https://www.sec.gov/Archives/edgar/data/2042292/000121390025096131/ea0259285-8k_btc.htm,2025-09-29,2025-10-03 16:32:10,https://www.sec.gov/Archives/edgar/data/2042292/0001213900-25-096131-index.html,Item 1.01; Item 3.02; Item 3.03; Item 8.01; Item 9.01,Item 1.01; Item 3.02; Item 3.03; Item 8.01; Item 9.01,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/2042292/000121390025096131/ea0259285-8k_btc.htm,,Tier-1,2025-09-29,https://www.sec.gov/Archives/edgar/data/2042292/000121390025096131/ea0259285-8k_btc.htm,https://www.sec.gov/Archives/edgar/data/2042292/0001213900-25-096131-index.html
BKKT,"Bakkt Holdings, Inc.",0001820302,2025-11-21,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1820302/000162828025053695/bakkt-20251121.htm,https://www.sec.gov/Archives/edgar/data/1820302/0001628280-25-053695-index.html,8-K,2025-11-24,2025-11-21,2025-11-21,0001628280-25-053695,https://www.sec.gov/Archives/edgar/data/1820302/000162828025053695/bakkt-20251121.htm,https://www.sec.gov/Archives/edgar/data/1820302/000162828025053695/bakkt-20251121.htm,2025-11-21,2025-11-24 07:55:09,https://www.sec.gov/Archives/edgar/data/1820302/0001628280-25-053695-index.html,Item 8.01,Item 8.01,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1820302/000162828025053695/bakkt-20251121.htm,,Tier-1,2025-11-21,https://www.sec.gov/Archives/edgar/data/1820302/000162828025053695/bakkt-20251121.htm,https://www.sec.gov/Archives/edgar/data/1820302/0001628280-25-053695-index.html
BKKT,"Bakkt Holdings, Inc.",0001820302,2025-11-10,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1820302/000119312525275602/d17320d8k.htm,https://www.sec.gov/Archives/edgar/data/1820302/0001193125-25-275602-index.html,8-K,2025-11-12,2025-11-10,2025-11-10,0001193125-25-275602,https://www.sec.gov/Archives/edgar/data/1820302/000119312525275602/d17320d8k.htm,https://www.sec.gov/Archives/edgar/data/1820302/000119312525275602/d17320d8k.htm,2025-11-10,2025-11-12 06:05:25,https://www.sec.gov/Archives/edgar/data/1820302/0001193125-25-275602-index.html,Item 2.02; Item 9.01,Item 2.02; Item 9.01,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1820302/000119312525275602/d17320d8k.htm,,Tier-1,2025-11-10,https://www.sec.gov/Archives/edgar/data/1820302/000119312525275602/d17320d8k.htm,https://www.sec.gov/Archives/edgar/data/1820302/0001193125-25-275602-index.html
BKKT,"Bakkt Holdings, Inc.",0001820302,2025-11-10,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1820302/000162828025051201/bakkt-20251110.htm,https://www.sec.gov/Archives/edgar/data/1820302/0001628280-25-051201-index.html,8-K,2025-11-12,2025-11-10,2025-11-10,0001628280-25-051201,https://www.sec.gov/Archives/edgar/data/1820302/000162828025051201/bakkt-20251110.htm,https://www.sec.gov/Archives/edgar/data/1820302/000162828025051201/bakkt-20251110.htm,2025-11-10,2025-11-10 18:44:16,https://www.sec.gov/Archives/edgar/data/1820302/0001628280-25-051201-index.html,Item 2.02; Item 9.01,Item 2.02; Item 9.01,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1820302/000162828025051201/bakkt-20251110.htm,,Tier-1,2025-11-10,https://www.sec.gov/Archives/edgar/data/1820302/000162828025051201/bakkt-20251110.htm,https://www.sec.gov/Archives/edgar/data/1820302/0001628280-25-051201-index.html
BKKT,"Bakkt Holdings, Inc.",0001820302,2025-10-31,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1820302/000162828025047840/bakkt-20251031.htm,https://www.sec.gov/Archives/edgar/data/1820302/0001628280-25-047840-index.html,8-K,2025-10-31,2025-10-31,2025-10-31,0001628280-25-047840,https://www.sec.gov/Archives/edgar/data/1820302/000162828025047840/bakkt-20251031.htm,https://www.sec.gov/Archives/edgar/data/1820302/000162828025047840/bakkt-20251031.htm,2025-10-31,2025-10-31 16:33:54,https://www.sec.gov/Archives/edgar/data/1820302/0001628280-25-047840-index.html,Item 5.02; Item 7.01; Item 9.01,Item 5.02; Item 7.01; Item 9.01,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1820302/000162828025047840/bakkt-20251031.htm,,Tier-1,2025-10-31,https://www.sec.gov/Archives/edgar/data/1820302/000162828025047840/bakkt-20251031.htm,https://www.sec.gov/Archives/edgar/data/1820302/0001628280-25-047840-index.html
BKKT,"Bakkt Holdings, Inc.",0001820302,2025-10-16,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1820302/000119312525242750/d74254d8k.htm,https://www.sec.gov/Archives/edgar/data/1820302/0001193125-25-242750-index.html,8-K,2025-10-20,2025-10-16,2025-10-16,0001193125-25-242750,https://www.sec.gov/Archives/edgar/data/1820302/000119312525242750/d74254d8k.htm,https://www.sec.gov/Archives/edgar/data/1820302/000119312525242750/d74254d8k.htm,2025-10-16,2025-10-17 20:40:57,https://www.sec.gov/Archives/edgar/data/1820302/0001193125-25-242750-index.html,Item 1.01; Item 3.02; Item 7.01; Item 9.01,Item 1.01; Item 3.02; Item 7.01; Item 9.01,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1820302/000119312525242750/d74254d8k.htm,,Tier-1,2025-10-16,https://www.sec.gov/Archives/edgar/data/1820302/000119312525242750/d74254d8k.htm,https://www.sec.gov/Archives/edgar/data/1820302/0001193125-25-242750-index.html
CCRN,CROSS COUNTRY HEALTHCARE INC,0001141103,2025-11-12,FDA,Tier-1,https://www.sec.gov/Archives/edgar/data/1141103/000162828025051671/ccrn-20251112.htm,https://www.sec.gov/Archives/edgar/data/1141103/0001628280-25-051671-index.html,8-K,2025-11-12,2025-11-12,2025-11-12,0001628280-25-051671,https://www.sec.gov/Archives/edgar/data/1141103/000162828025051671/ccrn-20251112.htm,https://www.sec.gov/Archives/edgar/data/1141103/000162828025051671/ccrn-20251112.htm,2025-11-12,2025-11-12 17:03:00,https://www.sec.gov/Archives/edgar/data/1141103/0001628280-25-051671-index.html,Item 2.02; Item 7.01; Item 9.01,Item 2.02; Item 7.01; Item 9.01,FDA,Tier-1,https://www.sec.gov/Archives/edgar/data/1141103/000162828025051671/ccrn-20251112.htm,,Tier-1,2025-11-12,https://www.sec.gov/Archives/edgar/data/1141103/000162828025051671/ccrn-20251112.htm,https://www.sec.gov/Archives/edgar/data/1141103/0001628280-25-051671-index.html
CCRN,CROSS COUNTRY HEALTHCARE INC,0001141103,2025-08-06,FDA,Tier-1,https://www.sec.gov/Archives/edgar/data/1141103/000162828025038369/ccrn-20250806.htm,https://www.sec.gov/Archives/edgar/data/1141103/0001628280-25-038369-index.html,8-K,2025-08-06,2025-08-06,2025-08-06,0001628280-25-038369,https://www.sec.gov/Archives/edgar/data/1141103/000162828025038369/ccrn-20250806.htm,https://www.sec.gov/Archives/edgar/data/1141103/000162828025038369/ccrn-20250806.htm,2025-08-06,2025-08-06 16:27:36,https://www.sec.gov/Archives/edgar/data/1141103/0001628280-25-038369-index.html,Item 2.02; Item 7.01; Item 9.01,Item 2.02; Item 7.01; Item 9.01,FDA,Tier-1,https://www.sec.gov/Archives/edgar/data/1141103/000162828025038369/ccrn-20250806.htm,,Tier-1,2025-08-06,https://www.sec.gov/Archives/edgar/data/1141103/000162828025038369/ccrn-20250806.htm,https://www.sec.gov/Archives/edgar/data/1141103/0001628280-25-038369-index.html
CCRN,CROSS COUNTRY HEALTHCARE INC,0001141103,2025-02-28,FDA,Tier-1,https://www.sec.gov/Archives/edgar/data/1141103/000095010325002748/dp225602_8k.htm,https://www.sec.gov/Archives/edgar/data/1141103/0000950103-25-002748-index.html,8-K,2025-02-28,2025-02-28,2025-02-28,0000950103-25-002748,https://www.sec.gov/Archives/edgar/data/1141103/000095010325002748/dp225602_8k.htm,https://www.sec.gov/Archives/edgar/data/1141103/000095010325002748/dp225602_8k.htm,2025-02-28,2025-02-28 16:54:47,https://www.sec.gov/Archives/edgar/data/1141103/0000950103-25-002748-index.html,Item 8.01; Item 9.01,Item 8.01; Item 9.01,FDA,Tier-1,https://www.sec.gov/Archives/edgar/data/1141103/000095010325002748/dp225602_8k.htm,,Tier-1,2025-02-28,https://www.sec.gov/Archives/edgar/data/1141103/000095010325002748/dp225602_8k.htm,https://www.sec.gov/Archives/edgar/data/1141103/0000950103-25-002748-index.html
CCRN,CROSS COUNTRY HEALTHCARE INC,0001141103,2025-05-07,FDA,Tier-1,https://www.sec.gov/Archives/edgar/data/1141103/000162828025023205/ccrn-20250507.htm,https://www.sec.gov/Archives/edgar/data/1141103/0001628280-25-023205-index.html,8-K,2025-05-07,2025-05-07,2025-05-07,0001628280-25-023205,https://www.sec.gov/Archives/edgar/data/1141103/000162828025023205/ccrn-20250507.htm,https://www.sec.gov/Archives/edgar/data/1141103/000162828025023205/ccrn-20250507.htm,2025-05-07,2025-05-07 16:28:50,https://www.sec.gov/Archives/edgar/data/1141103/0001628280-25-023205-index.html,Item 2.02; Item 7.01; Item 9.01,Item 2.02; Item 7.01; Item 9.01,FDA,Tier-1,https://www.sec.gov/Archives/edgar/data/1141103/000162828025023205/ccrn-20250507.htm,,Tier-1,2025-05-07,https://www.sec.gov/Archives/edgar/data/1141103/000162828025023205/ccrn-20250507.htm,https://www.sec.gov/Archives/edgar/data/1141103/0001628280-25-023205-index.html
