Ticker,CIK,Company,Exchange,Country,Currency,Sector,Industry,MarketCap,Price,UpdatedAt,BidPrice,AskPrice,BidSize,AskSize,AfterHoursVolume,QuoteTimestamp,Spread,SpreadPct
MVIS,0000065770,"MicroVision, Inc.",NASDAQ,US,USD,Technology,"Hardware, Equipment & Parts",319022777.0,1.06,2025-11-05T12:38:50.935761,1.07,1.08,1.0,1311.0,5845679.0,2025-11-05T12:38:24Z,0.010000000000000009,0.9302325581395355
BGS,0001278027,"B&G Foods, Inc.",NYSE,US,USD,Consumer Defensive,Packaged Foods,313614696.0,3.92,2025-11-05T12:38:50.936099,3.94,3.96,998.0,1000.0,0.0,2025-11-05T12:38:21Z,0.020000000000000018,0.5063291139240511
OMI,0000075252,"Owens & Minor, Inc.",NYSE,US,USD,Healthcare,Medical - Distribution,269649716.0,3.49,2025-11-05T12:38:50.936195,3.42,3.48,15.0,50.0,0.0,2025-11-05T12:37:56Z,0.06000000000000005,1.7391304347826102
PDYN,0001826681,Palladyne AI Corp.,NASDAQ,US,USD,Technology,Software - Infrastructure,297417517.0,7.09,2025-11-05T12:38:50.936294,7.1,7.17,244.0,130.0,6810.0,2025-11-05T12:37:43Z,0.07000000000000028,0.9810791871058204
SENS,0001616543,"Senseonics Holdings, Inc.",AMEX,US,USD,Healthcare,Medical - Devices,272510460.0,6.69,2025-11-05T12:38:50.936348,6.7,6.8,10.0,500.0,0.0,2025-11-05T12:37:02Z,0.09999999999999964,1.481481481481476
ACB,0001683541,Aurora Cannabis Inc.,NASDAQ,CA,USD,Healthcare,Drug Manufacturers - Specialty & Generic,255387076.0,4.54,2025-11-05T12:38:50.936918,5.0,5.08,300.0,300.0,26857.0,2025-11-05T12:39:02Z,0.08000000000000007,1.5873015873015885
NNDM,0001643303,Nano Dimension Ltd.,NASDAQ,IL,USD,Technology,Computer Hardware,347111167.0,1.59,2025-11-05T12:38:50.937059,1.57,1.61,254.0,35.0,25174.0,2025-11-05T12:37:46Z,0.040000000000000036,2.5157232704402537
BRR,0002056263,Columbus Circle Capital Corp I Class A Ordinary Shares,NASDAQ,US,USD,Financial Services,Asset Management,347531390.0,10.21,2025-11-05T12:38:50.937181,10.16,10.23,2000.0,101.0,431148.0,2025-11-05T12:38:18Z,0.07000000000000028,0.6866110838646423
VFF,0001584549,"Village Farms International, Inc.",NASDAQ,CA,USD,Consumer Defensive,Agricultural Farm Products,337932507.0,3.0,2025-11-05T12:38:50.937426,3.01,3.1,486.0,6.0,0.0,2025-11-05T12:37:43Z,0.0900000000000003,2.9459901800327435
EMPD,0001829794,Empery Digital Inc.,NASDAQ,US,USD,Consumer Cyclical,Auto - Recreational Vehicles,295445670.0,6.23,2025-11-05T12:38:50.938246,6.2,6.28,11.0,4.0,922837.0,2025-11-04T21:00:01Z,0.08000000000000007,1.2820512820512833
CUB,0002015955,Lionheart Holdings,NASDAQ,KY,USD,Financial Services,Shell Companies,325679993.0,10.62,2025-11-05T12:38:50.938437,10.47,10.62,4.0,1.0,40040.0,2025-11-04T21:00:00Z,0.14999999999999858,1.4224751066856194
SIMA,0002014982,SIM Acquisition Corp. I,NASDAQ,US,USD,Financial Services,Shell Companies,323226681.0,10.54,2025-11-05T12:38:50.938636,10.48,10.59,20.0,2.0,1378.0,2025-11-04T21:00:00Z,0.10999999999999943,1.0441385856668195
WW,0000105319,"WW International, Inc.",NASDAQ,US,USD,Consumer Cyclical,Personal Products & Services,309894376.0,31.03,2025-11-05T12:38:50.939143,30.7,31.25,1.0,2.0,0.0,2025-11-04T21:00:01Z,0.5500000000000007,1.775625504439066
SZZL,0002030663,Sizzle Acquisition Corp. II,NASDAQ,US,USD,Financial Services,Shell Companies,239776000.0,10.16,2025-11-05T12:38:50.939235,10.1,10.19,999.0,0.0,937.0,2025-11-05T00:59:14Z,0.08999999999999986,0.887136520453424
PACH,0002040381,Pioneer Acquisition I Corp.,NASDAQ,KY,USD,Financial Services,Asset Management,317492784.0,10.08,2025-11-05T12:38:50.939308,10.02,10.08,4.0,4.0,139797.0,2025-11-04T21:00:00Z,0.0600000000000005,0.5970149253731393
OBA,0002034313,Oxley Bridge Acquisition Limited,NASDAQ,CA,USD,Financial Services,Shell Companies,317515000.0,10.04,2025-11-05T12:38:50.939370,9.9,10.04,1.0,1.0,17330.0,2025-11-03T21:00:00Z,0.1399999999999988,1.4042126379137292
ALDF,0002031561,Aldel Financial II Inc.,NASDAQ,US,USD,Financial Services,Shell Companies,313317565.0,10.49,2025-11-05T12:38:50.939789,10.41,10.49,7.0,1.0,101642.0,2025-11-04T21:00:00Z,0.08000000000000007,0.7655502392344504
MPX,0001129155,Marine Products Corporation,NYSE,US,USD,Consumer Cyclical,Auto - Recreational Vehicles,292241934.0,8.35,2025-11-05T12:38:50.939842,8.36,8.4,100.0,300.0,0.0,2025-11-04T21:00:02Z,0.040000000000000924,0.47732696897375804
EGHT,0001023731,"8x8, Inc.",NASDAQ,US,USD,Technology,Software - Application,241372852.0,1.77,2025-11-05T12:38:50.939944,1.92,1.98,1700.0,96.0,730553.0,2025-11-05T12:38:53Z,0.06000000000000005,3.0769230769230798
CBAN,0000711669,"Colony Bankcorp, Inc.",NASDAQ,US,USD,Financial Services,Banks - Regional,281999737.0,16.15,2025-11-05T12:38:50.940235,16.0,16.25,200.0,300.0,75415.0,2025-11-04T21:00:02Z,0.25,1.550387596899225
LWAC,0002061379,LightWave Acquisition Corp.,NASDAQ,KY,USD,Financial Services,Asset Management,302554520.0,10.06,2025-11-05T12:38:50.940537,10.02,10.1,5.0,0.0,144156.0,2025-11-04T21:00:00Z,0.08000000000000007,0.7952286282306171
EMIS,0002075816,Emmis Acquisition Corp. Class A Ordinary Shares,NASDAQ,US,USD,Financial Services,Asset Management,156811770.0,9.94,2025-11-05T12:38:50.941272,9.92,9.94,6.0,1.0,599860.0,2025-11-04T21:00:00Z,0.019999999999999574,0.2014098690835808
OCFT,0001780531,"OneConnect Financial Technology Co., Ltd.",NYSE,CN,USD,Technology,Software - Application,286787795.0,7.89,2025-11-05T12:38:50.941607,7.88,7.97,200.0,100.0,122441.0,2025-10-29T23:56:25Z,0.08999999999999986,1.1356466876971592
OBT,0001754226,"Orange County Bancorp, Inc.",NASDAQ,US,USD,Financial Services,Banks - Regional,335408790.0,25.1,2025-11-05T12:38:50.942219,24.91,25.25,80.0,902.0,37918.0,2025-11-05T12:38:42Z,0.33999999999999986,1.355661881977671
SATL,0001874315,Satellogic Inc.,NASDAQ,US,USD,Technology,"Hardware, Equipment & Parts",179182200.0,1.7,2025-11-05T12:38:50.942964,1.7,1.71,2688.0,2120.0,28551.0,2025-11-05T12:38:45Z,0.010000000000000009,0.5865102639296192
BRY,0001705873,Berry Corporation,NASDAQ,US,USD,Energy,Oil & Gas Exploration & Production,257638115.0,3.32,2025-11-05T12:38:50.943318,3.32,3.4,1.0,2.0,523669.0,2025-11-05T12:38:14Z,0.08000000000000007,2.380952380952383
ACTG,0000934549,Acacia Research Corporation,NASDAQ,US,USD,Industrials,Specialty Business Services,316339577.0,3.28,2025-11-05T12:38:50.943735,3.41,3.43,100.0,2400.0,10680.0,2025-11-05T12:39:06Z,0.020000000000000018,0.5847953216374274
AXIN,0002057030,Axiom Intelligence Acquisition Corp 1,NASDAQ,GB,USD,Financial Services,Shell Companies,341708663.0,10.07,2025-11-05T12:38:50.945205,10.02,10.07,10.0,1.0,58.0,2025-11-04T21:00:00Z,0.05000000000000071,0.49776007964161983
GPRO,0001500435,"GoPro, Inc.",NASDAQ,US,USD,Technology,Consumer Electronics,267527000.0,1.69,2025-11-05T12:38:50.945865,1.68,1.69,436.0,295.0,2526.0,2025-11-05T12:34:32Z,0.010000000000000009,0.5934718100890213
ALEC,0001653087,"Alector, Inc.",NASDAQ,US,USD,Healthcare,Biotechnology,133600000.0,1.32,2025-11-05T12:38:50.946972,1.33,1.36,2160.0,20000.0,2683437.0,2025-11-05T12:32:51Z,0.030000000000000027,2.2304832713754665
VACH,0002006815,Voyager Acquisition Corp.,NASDAQ,US,USD,Financial Services,Shell Companies,332666527.0,10.5191,2025-11-05T12:38:50.949237,10.5,10.5191,1.0,3.0,330.0,2025-11-04T21:00:00Z,0.019099999999999895,0.18173946553372783
CMDB,0002033535,Costamare Bulkers Holdings Ltd,NYSE,MC,USD,Industrials,Marine Shipping,311974952.0,12.87,2025-11-05T12:38:50.949807,12.82,12.87,800.0,4.0,23292.0,2025-11-05T12:39:23Z,0.049999999999998934,0.3892565200467025
