CIK,Ticker,FilingDate,FilingURL,ItemsPresent,IsCatalyst,CatalystType,Tier1Type,Tier1Trigger,IsDilution,DilutionTags,IgnoreReason
0001429764,BLNK,2024-12-18,https://www.sec.gov/Archives/edgar/data/1429764/000149315224050635/0001493152-24-050635.txt,5.02;9.01,True,Tier-2,,,False,,
0001788999,XPER,2025-01-24,https://www.sec.gov/Archives/edgar/data/1788999/000095017025008787/0000950170-25-008787.txt,5.02,True,Tier-2,,,False,,
0001803696,XPER,2024-11-12,https://www.sec.gov/Archives/edgar/data/1803696/000095017024124462/0000950170-24-124462.txt,8.01;9.01,True,Tier-2,,,False,,
0000818033,HRTX,2024-12-03,https://www.sec.gov/Archives/edgar/data/818033/000095017024132874/0000950170-24-132874.txt,8.01,True,Tier-1,FUNDED_AWARD,$0.01,False,,
0001464790,RILY,2025-01-10,https://www.sec.gov/Archives/edgar/data/1464790/000121390025002319/0001213900-25-002319.txt,1.01;1.01;8.01,False,NONE,,,True,WARRANTS;NOTES,Non-binding LOI
0001464790,RILY,2024-12-12,https://www.sec.gov/Archives/edgar/data/1464790/000121390024108360/0001213900-24-108360.txt,1.01;1.01,True,Tier-2,,,False,,
0001464790,RILY,2024-11-13,https://www.sec.gov/Archives/edgar/data/1464790/000121390024097582/0001213900-24-097582.txt,2.02;2.02;2.02;9.01,False,NONE,,,True,NOTES,
0001464790,RILY,2024-04-29,https://www.sec.gov/Archives/edgar/data/1464790/000121390024092356/0001213900-24-092356.txt,8.01,False,NONE,,,True,NOTES,
0001126741,GSIT,2024-10-29,https://www.sec.gov/Archives/edgar/data/1126741/000110465924112237/0001104659-24-112237.txt,5.02,True,Tier-2,,,False,,
0000711669,CBAN,2024-12-20,https://www.sec.gov/Archives/edgar/data/711669/000071166924000134/0000711669-24-000134.txt,8.01,True,Tier-1,FUNDED_AWARD,$12 million,False,,
0000723646,FRAF,2025-01-21,https://www.sec.gov/Archives/edgar/data/723646/000072364625000008/0000723646-25-000008.txt,8.01;9.01,False,NONE,,,True,ATM,
0000723646,FRAF,2024-12-23,https://www.sec.gov/Archives/edgar/data/723646/000072364624000077/0000723646-24-000077.txt,5.02;9.01,True,Tier-2,,,False,,
0000723646,FRAF,2024-11-04,https://www.sec.gov/Archives/edgar/data/723646/000072364624000066/0000723646-24-000066.txt,5.02;9.01,True,Tier-2,,,False,,
0000723646,FRAF,2024-10-18,https://www.sec.gov/Archives/edgar/data/723646/000072364624000059/0000723646-24-000059.txt,8.01;9.01,True,Tier-1,REGULATORY,,False,,
0001799011,LUCD,2025-08-13,https://www.sec.gov/Archives/edgar/data/1799011/000149315225011882/0001493152-25-011882.txt,2.02;7.01;2.02;9.01,False,NONE,,,True,UNDERWRITTEN;CONVERT,
0001799011,LUCD,2025-03-04,https://www.sec.gov/Archives/edgar/data/1799011/000149315225008974/0001493152-25-008974.txt,8.01;9.01,False,NONE,,,True,ATM;SHELF,
0001799011,LUCD,2025-02-25,https://www.sec.gov/Archives/edgar/data/1799011/000149315225008100/0001493152-25-008100.txt,8.01;9.01,True,Tier-2,,,False,,
0001799011,LUCD,2024-12-20,https://www.sec.gov/Archives/edgar/data/1799011/000149315224051061/0001493152-24-051061.txt,8.01;9.01,True,Tier-2,,,False,,
0001799011,LUCD,2024-11-12,https://www.sec.gov/Archives/edgar/data/1799011/000149315224046587/0001493152-24-046587.txt,1.01;1.01;3.02;1.01;1.01;9.01,False,NONE,,,True,CONVERT,
0001799011,LUCD,2024-11-12,https://www.sec.gov/Archives/edgar/data/1799011/000149315224044502/0001493152-24-044502.txt,1.01;1.01;1.01;3.02;1.01;1.01;9.01,False,NONE,,,True,CONVERT;SHELF;UNDERWRITTEN,
0001901799,BTM,2024-12-12,https://www.sec.gov/Archives/edgar/data/1901799/000095017024135844/0000950170-24-135844.txt,5.02,False,NONE,,,True,WARRANTS,
0001901799,BTM,2024-11-18,https://www.sec.gov/Archives/edgar/data/1901799/000095017024128076/0000950170-24-128076.txt,5.02;9.01,False,NONE,,,True,WARRANTS,Non-binding LOI
0000883975,MBOT,2025-02-10,https://www.sec.gov/Archives/edgar/data/883975/000149315225005489/0001493152-25-005489.txt,8.01;9.01,False,NONE,,,True,ATM;RD;WARRANTS;CONVERT,
0000883975,MBOT,2025-01-27,https://www.sec.gov/Archives/edgar/data/883975/000149315225003818/0001493152-25-003818.txt,8.01;9.01,False,NONE,,,True,UNDERWRITTEN,
0000883975,MBOT,2025-01-24,https://www.sec.gov/Archives/edgar/data/883975/000149315225003582/0001493152-25-003582.txt,5.02;9.01,True,Tier-2,,,False,,
0000883975,MBOT,2025-01-06,https://www.sec.gov/Archives/edgar/data/883975/000149315225000366/0001493152-25-000366.txt,8.01;9.01,False,NONE,,,True,ATM,
0000883975,MBOT,2024-12-19,https://www.sec.gov/Archives/edgar/data/883975/000149315224050799/0001493152-24-050799.txt,5.02;9.01,True,Tier-2,,,False,,
