Ticker,Company,CIK,Sector,Industry,Venue,Price,MarketCap,ADV20,RunwayQuarters,Runway (qtrs),DilutionScore,CatalystScore,GovernanceScore,InsiderScore,BiotechPeerRead,SubscoresEvidencedCount,Materiality,ConvictionScore,PrimaryCatalystDate,PrimaryCatalystType,PrimaryCatalystTier,PrimaryCatalystURL,RunwayEvidencePrimary,DilutionEvidencePrimary,CatalystEvidencePrimary,PrimarySource,SecondarySource,Status,ValidationStatus
SRFM,Surf Air Mobility Inc.,1936224,Industrials,"Airlines, Airports & Air Services",NYSE,2.05,69109621.0,2853743.9,0.15,0.15,High,Tier-1: ATM,OK,Strong,N,5,PASS - Tier1 catalyst,High,2025-06-25,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1936224/000095017025090410/srfm-20250625.htm,https://www.sec.gov/Archives/edgar/data/1936224/000119312525277860/srfm-20250930.htm,https://www.sec.gov/Archives/edgar/data/1936224/000119312525293741/srfm_warrant_pro_supp_11.htm;https://www.sec.gov/Archives/edgar/data/1936224/000119312525275795/s-3_final_pro_supp_oct_2.htm;https://www.sec.gov/Archives/edgar/data/1936224/000119312525273369/s-3_pro_supp_oct_2025_v4.htm;https://www.sec.gov/Archives/edgar/data/1936224/000095017025090207/s-3_pro_supp__2_june_202.htm;https://www.sec.gov/Archives/edgar/data/1936224/000095017025048087/s-3_pro_supp__1.htm;https://www.sec.gov/Archives/edgar/data/1936224/000119312525278323/srfm-20251113.htm;https://www.sec.gov/Archives/edgar/data/1936224/000095017025059476/srfm_s-3_lamven_april_20.htm;https://www.sec.gov/Archives/edgar/data/1936224/000095017025059474/srfm_s-3_palantir_april_.htm;https://www.sec.gov/Archives/edgar/data/1936224/000119312525283550/srfm_s-3_amendment_oct_2.htm;https://www.sec.gov/Archives/edgar/data/1936224/000095017025095950/srfm-20250715.htm,https://www.sec.gov/Archives/edgar/data/1936224/000095017025090410/srfm-20250625.htm,https://www.sec.gov/Archives/edgar/data/1936224/000095017025090410/srfm-20250625.htm,nan,Validated,Validated
RDZN,"Roadzen, Inc.",1868640,Technology,Software - Application,NASDAQ,1.74,127800327.0,330378.5,0.55,0.55,High,Tier-1: ATM,OK,Strong,N,5,PASS - Tier1 catalyst,High,2025-06-26,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1868640/000164117225016641/form8-k.htm,https://www.sec.gov/Archives/edgar/data/1868640/000149315225022583/form10-q.htm,https://www.sec.gov/Archives/edgar/data/1868640/000149315225024500/form424b5.htm;https://www.sec.gov/Archives/edgar/data/1868640/000164117225021292/form424b5.htm;https://www.sec.gov/Archives/edgar/data/1868640/000164117225002154/form424b5.htm;https://www.sec.gov/Archives/edgar/data/1868640/000149315225000187/form424b5.htm;https://www.sec.gov/Archives/edgar/data/1868640/000149315224050286/form424b5.htm;https://www.sec.gov/Archives/edgar/data/1868640/000149315225025351/forms-3.htm;https://www.sec.gov/Archives/edgar/data/1868640/000149315225004906/forms-3.htm;https://www.sec.gov/Archives/edgar/data/1868640/000149315224043376/forms-3.htm;https://www.sec.gov/Archives/edgar/data/1868640/000149315225007727/forms-3a.htm;https://www.sec.gov/Archives/edgar/data/1868640/000149315225025352/forms-8.htm,https://www.sec.gov/Archives/edgar/data/1868640/000164117225016641/form8-k.htm,https://www.sec.gov/Archives/edgar/data/1868640/000164117225016641/form8-k.htm,nan,Validated,Validated
PLBY,"Playboy, Inc.",1803914,Consumer Cyclical,Leisure,NASDAQ,1.92,179264999.0,569466.65,19.93,19.93,High,Tier-1: ListingChange,OK,Strong,N,5,PASS - Tier1 catalyst,High,2025-06-16,ListingChange,Tier-1,https://www.sec.gov/Archives/edgar/data/1803914/000180391425000102/ply-20250616.htm,https://www.sec.gov/Archives/edgar/data/1803914/000162828025051637/ply-20250930.htm,https://www.sec.gov/Archives/edgar/data/1803914/000162828025004908/plby-424b3.htm;https://www.sec.gov/Archives/edgar/data/1803914/000162828025037255/plby424b5.htm;https://www.sec.gov/Archives/edgar/data/1803914/000162828025035353/plbyforms-3july2025.htm;https://www.sec.gov/Archives/edgar/data/1803914/000162828025003318/plby-sx3.htm;https://www.sec.gov/Archives/edgar/data/1803914/000180391425000045/plbyforms-8x2025.htm,https://www.sec.gov/Archives/edgar/data/1803914/000180391425000102/ply-20250616.htm,https://www.sec.gov/Archives/edgar/data/1803914/000180391425000102/ply-20250616.htm,nan,Validated,Validated
XTIA,"XTI Aerospace, Inc.",1529113,Industrials,Aerospace & Defense,NASDAQ,1.63,27971126.0,1560124.45,1.06,1.06,High,Tier-1: ATM,OK,Strong,N,5,PASS - Tier1 catalyst,High,2025-09-12,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1529113/000121390025087390/ea0257228-8k_xtiaero.htm,https://www.sec.gov/Archives/edgar/data/1529113/000121390025112615/ea0263034-10q_xtiaero.htm,https://www.sec.gov/Archives/edgar/data/1529113/000121390025037074/ea0240030-424b3_xtiaero.htm;https://www.sec.gov/Archives/edgar/data/1529113/000121390025057901/ea0246972-424b4_xtiaero.htm;https://www.sec.gov/Archives/edgar/data/1529113/000121390025087270/ea0257256-424b5_xtiaeros.htm;https://www.sec.gov/Archives/edgar/data/1529113/000121390025086906/ea0256327-424b5_xtiaeros.htm;https://www.sec.gov/Archives/edgar/data/1529113/000101376225004458/ea0236241-424b5_xtiaeros.htm;https://www.sec.gov/Archives/edgar/data/1529113/000101376225003480/ea0235949-424b5_xtiaeros.htm;https://www.sec.gov/Archives/edgar/data/1529113/000121390025002375/ea0227271-424b5_xtiaero.htm;https://www.sec.gov/Archives/edgar/data/1529113/000121390025070681/ea0250928-s3_xtiaero.htm;https://www.sec.gov/Archives/edgar/data/1529113/000121390025014322/ea0230405-s8_xtiaero.htm,https://www.sec.gov/Archives/edgar/data/1529113/000121390025087390/ea0257228-8k_xtiaero.htm,https://www.sec.gov/Archives/edgar/data/1529113/000121390025087390/ea0257228-8k_xtiaero.htm,nan,Validated,Validated
TVRD,"Tvardi Therapeutics, Inc.",1742947,Healthcare,Biotechnology,NASDAQ,4.12,38651121.0,154675.65,1.2,1.2,High,Tier-1: ATM,OK,Strong,Y,5,PASS - Tier1 catalyst,High,2025-06-06,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1346830/000110465925057524/tm2517442d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1346830/000110465925111289/tvrd-20250930x10q.htm,https://www.sec.gov/Archives/edgar/data/1346830/000110465925111336/tm2531079d2_424b3.htm;https://www.sec.gov/Archives/edgar/data/1346830/000110465925014310/tm2430195-17_424b3.htm;https://www.sec.gov/Archives/edgar/data/1346830/000110465925100898/tm2515908d6_s8.htm,https://www.sec.gov/Archives/edgar/data/1346830/000110465925057524/tm2517442d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1346830/000110465925057524/tm2517442d1_8k.htm,nan,Validated,Validated
CYPH,Cypherpunk Technologies Inc.,1509745,Healthcare,Biotechnology,NASDAQ,1.53,86677315.0,67582507.9,0.26,0.26,High,Tier-1: ATM,OK,Strong,Y,5,PASS - Tier1 catalyst,High,2025-06-23,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1509745/000110465925061385/tm2518612d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1509745/000110465925109827/tmb-20250930x10q.htm,https://www.sec.gov/Archives/edgar/data/1509745/000110465925109899/tm2530617-1_424b5.htm;https://www.sec.gov/Archives/edgar/data/1509745/000110465925028282/tm2510101d1_s8.htm;https://www.sec.gov/Archives/edgar/data/1509745/000110465924114816/tm2427556d1_s8.htm,https://www.sec.gov/Archives/edgar/data/1509745/000110465925061385/tm2518612d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1509745/000110465925061385/tm2518612d1_8k.htm,nan,Validated,Validated
FLUX,"Flux Power Holdings, Inc.",1083743,Industrials,Electrical Equipment & Parts,NASDAQ,1.68,28148091.0,906504.55,0.13,0.13,High,Tier-1: ATM,OK,Strong,N,5,PASS - Tier1 catalyst,High,2025-08-29,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1083743/000164117225026233/form8-k.htm,https://www.sec.gov/Archives/edgar/data/1083743/000149315225004175/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1083743/000149315225023909/form424b3.htm;https://www.sec.gov/Archives/edgar/data/1083743/000149315225022396/form424b3.htm;https://www.sec.gov/Archives/edgar/data/1083743/000149315225021964/form424b3.htm;https://www.sec.gov/Archives/edgar/data/1083743/000149315225020510/form424b4.htm,https://www.sec.gov/Archives/edgar/data/1083743/000164117225026233/form8-k.htm,https://www.sec.gov/Archives/edgar/data/1083743/000164117225026233/form8-k.htm,nan,Validated,Validated
ZYXI,"Zynex, Inc.",846475,Healthcare,Medical - Distribution,NASDAQ,1.26,38289680.0,14127411.0,0.58,0.58,High,Tier-1: ATM,OK,Strong,N,5,PASS - Tier1 catalyst,High,2025-06-30,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/846475/000155837025009040/zyxi-20250630x8k.htm,https://www.sec.gov/Archives/edgar/data/846475/000110465925113280/zyxi-20250930x10q.htm,https://www.sec.gov/Archives/edgar/data/846475/000155837025005577/zyxi-20250425xs3.htm,https://www.sec.gov/Archives/edgar/data/846475/000155837025009040/zyxi-20250630x8k.htm,https://www.sec.gov/Archives/edgar/data/846475/000155837025009040/zyxi-20250630x8k.htm,nan,Validated,Validated
UAVS,"AgEagle Aerial Systems, Inc.",8504,Technology,Computer Hardware,AMEX,1.315,52690490.0,1507985.35,2.27,2.27,High,Tier-1: ATM,OK,Strong,N,5,PASS - Tier1 catalyst,High,2025-06-06,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/8504/000164117225014788/form8-k.htm,https://www.sec.gov/Archives/edgar/data/8504/000143774925035221/uavs20250930_10q.htm,https://www.sec.gov/Archives/edgar/data/8504/000149315225021231/form424b5.htm;https://www.sec.gov/Archives/edgar/data/8504/000164117225022679/form424b7.htm;https://www.sec.gov/Archives/edgar/data/8504/000164117225006435/form424b7.htm;https://www.sec.gov/Archives/edgar/data/8504/000149315225013002/forms-3.htm;https://www.sec.gov/Archives/edgar/data/8504/000164117225021502/forms-3.htm;https://www.sec.gov/Archives/edgar/data/8504/000149315225006795/forms-3.htm;https://www.sec.gov/Archives/edgar/data/8504/000164117225003659/forms-3a.htm;https://www.sec.gov/Archives/edgar/data/8504/000164117225003416/forms-3a.htm,https://www.sec.gov/Archives/edgar/data/8504/000164117225014788/form8-k.htm,https://www.sec.gov/Archives/edgar/data/8504/000164117225014788/form8-k.htm,nan,Validated,Validated
WTGUU,Wintergreen Acquisition Corp.,2053927,Financial Services,Shell Companies,NASDAQ,10.3,75437509.0,30.0,9.03,9.03,High,Tier-1: ATM,OK,Strong,N,5,PASS - Tier1 catalyst,High,2025-05-30,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/2053927/000182912625004255/wintergreenacq_8k.htm,https://www.sec.gov/Archives/edgar/data/2053927/000182912625008998/wintergreenacq_10q.htm,https://www.sec.gov/Archives/edgar/data/2053927/000182912625004031/wintergreenacq_424b4.htm,https://www.sec.gov/Archives/edgar/data/2053927/000182912625004255/wintergreenacq_8k.htm,https://www.sec.gov/Archives/edgar/data/2053927/000182912625004255/wintergreenacq_8k.htm,nan,Validated,Validated
